,result,season,team1,team2,d_ELO,d_NetRtg,d_SRS
25815,1,1985,CHI,WSB,-77.81880000000001,-2.0999999999999943,-2.3300000000000005
25816,1,1985,SEA,UTA,8.99519999999984,-1.1999999999999886,-1.1500000000000001
25817,1,1985,PHI,CLE,148.23410000000058,6.6000000000000085,6.1
25818,0,1985,DET,BOS,-69.13349999999991,-3.0999999999999943,-2.9
25819,0,1985,NJN,ATL,54.55939999999987,2.5,2.35
25821,0,1985,CLE,NJN,-137.0757000000001,-0.7500000000000009,-0.9350000000000005
25822,0,1985,ATL,PHI,-28.851599999999962,0.19999999999999485,17.541666666666664
25823,0,1985,DAL,HOU,91.66540000000009,3.3000000000000114,3.27
25824,1,1985,NYK,DET,-10.92820000000006,5.450000000000003,-1.2849999999999993
25825,1,1985,MIL,CHI,199.10180000000014,-0.8000000000000034,8.075
25826,1,1985,DEN,GSW,56.73009999999999,2.299999999999997,2.08
25827,0,1985,KCK,POR,-38.06489999999985,-5.0,-4.75
25828,0,1985,IND,WSB,-23.414999999999964,4.350000000000001,2.255000000000001
25829,0,1985,UTA,LAC,51.01870000000008,-0.3499999999999943,3.22
25830,1,1985,SAS,LAL,-130.57819999999992,-3.8000000000000114,-3.82
25831,1,1985,DAL,LAL,-127.92110000000002,-6.149999999999999,-3.075
25832,0,1985,SEA,PHO,-39.275100000000066,2.799999999999997,-2.025
25833,1,1985,CHI,MIL,-201.46680000000015,-0.35000000000000187,-4.3549999999999995
25834,1,1985,LAL,GSW,155.87270000000012,0.4666666666666668,-0.0758333333333332
25835,0,1985,KCK,CHI,48.40960000000018,-13.925000000000008,-0.828888888888889
25836,1,1985,HOU,DAL,-67.01760000000013,3.0333333333333226,-1.4924999999999997
25837,1,1985,DET,CLE,167.32600000000002,6.0666666666666655,10.333333333333332
25838,1,1985,PHO,LAC,111.91430000000014,5.125000000000006,7.84
25839,0,1985,NJN,PHI,-8.336700000000064,-1.8666666666666774,-1.3666666666666667
25840,1,1985,WSB,ATL,-74.18289999999979,-8.733333333333334,-12.2105
25841,1,1985,POR,SEA,37.039800000000014,13.900000000000006,5.001666666666667
25842,1,1985,UTA,NYK,-93.93020000000001,-15.333333333333337,-19.75208333333333
25843,1,1985,SAS,DEN,-16.74279999999999,-0.8500000000000014,19.155
25844,1,1985,BOS,NJN,119.70640000000003,8.900000000000004,10.098333333333333
25845,1,1985,MIL,WSB,119.04840000000013,0.6583333333333393,4.6626666666666665
25846,0,1985,IND,DAL,-64.60069999999996,2.249999999999993,-12.41661111111111
25847,1,1985,SEA,LAL,-125.22219999999993,-14.925,-3.738111111111113
25848,0,1985,ATL,DET,-48.21269999999981,0.4499999999999993,0.1490000000000007
25849,1,1985,PHO,POR,24.707999999999856,-11.43333333333333,-7.471666666666664
25850,1,1985,LAC,NYK,-108.3632,-4.283333333333338,-0.9827499999999993
25851,1,1985,DEN,CHI,85.91669999999999,-5.453333333333337,-10.6945
25852,0,1985,KCK,HOU,-3.918100000000095,-19.03333333333333,-8.620583333333334
25853,0,1985,GSW,SAS,-60.40390000000002,-15.166666666666666,-16.71
25854,1,1985,LAL,SAS,89.53579999999988,-1.759999999999999,-3.8517083333333337
25855,0,1985,CLE,IND,-25.147500000000036,-10.558333333333332,-5.166333333333331
25856,1,1985,BOS,DET,91.2530999999999,8.013333333333334,6.741
25857,0,1985,WSB,MIL,-133.8673000000001,-13.035000000000004,-9.354694444444444
25858,1,1985,UTA,SEA,-4.448199999999815,4.775000000000003,-1.7371249999999994
25859,1,1985,PHI,DAL,107.8134,13.03,1.264833333333335
25860,1,1985,ATL,WSB,56.390100000000075,4.57,0.6986333333333339
25861,1,1985,HOU,NYK,-104.33560000000011,5.249999999999992,-0.36144444444444446
25863,0,1985,DAL,PHO,-92.52870000000007,-10.691666666666663,-6.337366666666664
25864,1,1985,NJN,IND,110.73329999999987,-3.660000000000003,5.909750000000001
25865,0,1985,KCK,DEN,-73.85310000000004,-9.625,0.9294999999999995
25866,1,1985,MIL,CLE,221.98720000000003,18.580000000000002,14.971964285714284
25867,0,1985,LAC,POR,-80.77980000000002,-10.537500000000009,-5.339999999999998
25868,1,1985,SAS,NYK,-39.34960000000001,0.5599999999999952,0.8759166666666665
25869,1,1985,LAL,POR,52.8467999999998,-6.723333333333339,-8.348869047619047
25870,1,1985,LAC,DEN,-79.6860999999999,-7.670000000000005,1.8903333333333334
25871,0,1985,CLE,DET,-194.10550000000012,-12.683333333333339,-11.737133333333333
25872,1,1985,SAS,SEA,26.651800000000094,7.916666666666666,4.333952380952382
25873,1,1985,POR,PHO,-36.07529999999997,1.9233333333333364,2.3348761904761908
25874,1,1985,DAL,NYK,-70.78049999999985,-5.623809523809521,-0.8338142857142872
25875,0,1985,LAL,DEN,97.74880000000007,2.978571428571428,6.253086904761904
25876,1,1985,HOU,KCK,45.24259999999981,17.740000000000002,6.970494047619048
25877,1,1985,MIL,ATL,87.2523000000001,8.583333333333337,4.7492857142857146
25878,0,1985,DET,CHI,163.28940000000011,-1.1214285714285712,-4.1436666666666655
25879,1,1985,BOS,LAC,219.38290000000006,10.258333333333336,5.126569841269842
25880,1,1985,NJN,WSB,93.04989999999998,4.678571428571428,2.0244571428571434
25881,1,1985,UTA,SAS,-32.16120000000001,-2.7057142857142846,-6.543404761904762
25882,1,1985,PHI,IND,174.83379999999988,8.200000000000003,10.907169642857143
