,date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carmelo1_pre,carmelo2_pre,carmelo1_post,carmelo2_post,carmelo_prob1,carmelo_prob2,score1,score2,team2_Pace,team2_eFG%,team2_TOV%,team2_ORB%,team2_FT/FGA,team2_ORtg,team2_DRtg,team2_NetRtg,team1_Pace,team1_eFG%,team1_TOV%,team1_ORB%,team1_FT/FGA,team1_ORtg,team1_DRtg,team1_NetRtg
54201,2008-10-28,2009,0,,LAL,POR,1651.7117,1472.9479999999999,0.8326732541141809,0.16732674588581894,1656.1938,1468.4658,,,,,,,96.0,76.0,89.1,0.405,11.7,24.5,0.095,85.3,107.7,-22.400000000000006,89.1,0.513,14.7,22.5,0.19,107.7,85.3,22.400000000000006
54202,2008-10-28,2009,0,,BOS,CLE,1667.4963,1547.7573,0.7798717864513485,0.22012821354865156,1670.1313,1545.1223,,,,,,,90.0,85.0,92.9,0.449,20.3,23.5,0.353,91.5,96.9,-5.400000000000006,92.9,0.466,15.2,23.3,0.284,96.9,91.5,5.400000000000006
54203,2008-10-28,2009,0,,CHI,MIL,1450.1299,1335.4137,0.7748680013858341,0.22513199861416588,1454.8381,1330.7054,,,,,,,108.0,95.0,89.8,0.513,18.0,33.3,0.192,105.8,120.3,-14.5,89.8,0.5429999999999999,16.9,42.4,0.478,120.3,105.8,14.5
54204,2008-10-29,2009,0,,HOU,MEM,1607.7936,1368.9879999999998,0.8754817276726613,0.1245182723273387,1609.951,1366.8306,,,,,,,82.0,71.0,85.5,0.38299999999999995,15.6,31.3,0.111,83.1,95.9,-12.800000000000011,85.5,0.401,12.1,24.4,0.276,95.9,83.1,12.800000000000011
54205,2008-10-29,2009,0,,NYK,MIA,1359.4448,1320.1884,0.6903218224419333,0.3096781775580667,1363.3666,1316.2666,,,,,,,120.0,115.0,103.3,0.489,11.6,28.9,0.272,111.4,116.2,-4.799999999999997,103.3,0.534,12.7,29.2,0.31,116.2,111.4,4.799999999999997
54206,2008-10-29,2009,0,,OKC,MIL,1353.5416,1330.7054,0.6697604934769783,0.3302395065230217,1337.1842,1347.0629,,,,,,,87.0,98.0,89.6,0.507,17.9,38.9,0.276,109.4,97.1,12.300000000000011,89.6,0.445,18.0,31.0,0.301,97.1,109.4,-12.300000000000011
54207,2008-10-29,2009,0,,SAS,PHO,1634.3752,1605.0505,0.6779687960739916,0.3220312039260084,1623.7318,1615.694,,,,,,,98.0,103.0,88.3,0.532,9.9,22.5,0.24100000000000002,116.6,110.9,5.699999999999989,88.3,0.531,7.3,18.9,0.163,110.9,116.6,-5.699999999999989
54208,2008-10-29,2009,0,,UTA,DEN,1633.2574,1565.7003,0.7240291084202407,0.2759708915797593,1636.3356,1562.6222,,,,,,,98.0,94.0,93.2,0.494,12.7,17.1,0.23399999999999999,100.8,105.1,-4.299999999999997,93.2,0.48100000000000004,14.9,30.0,0.278,105.1,100.8,4.299999999999997
54209,2008-10-29,2009,0,,ORL,ATL,1590.5756,1479.3201,0.7713737448486575,0.2286262551513425,1566.6978,1503.1979,,,,,,,85.0,99.0,92.9,0.47100000000000003,12.3,39.1,0.209,106.5,91.5,15.0,92.9,0.391,13.2,32.7,0.195,91.5,106.5,-15.0
54210,2008-10-29,2009,0,,MIN,SAC,1392.7305,1474.0674,0.5268325565469605,0.4731674434530395,1397.2357,1469.5621,,,,,,,98.0,96.0,94.7,0.48100000000000004,14.2,23.7,0.23800000000000002,101.4,103.5,-2.0999999999999943,94.7,0.5,10.2,23.4,0.126,103.5,101.4,2.0999999999999943
54211,2008-10-29,2009,0,,PHI,TOR,1505.8181,1486.1272,0.6657435904271314,0.3342564095728686,1489.6041,1502.3412,,,,,,,84.0,95.0,84.2,0.506,9.2,23.3,0.16,112.8,99.8,13.0,84.2,0.375,15.0,50.0,0.25,99.8,112.8,-13.0
54212,2008-10-29,2009,0,,WAS,NJN,1494.46,1435.7247,0.7137676996759066,0.2862323003240934,1477.4908,1452.6938,,,,,,,85.0,95.0,89.9,0.513,9.5,15.2,0.192,105.7,94.6,11.100000000000009,89.9,0.401,13.7,28.9,0.247,94.6,105.7,-11.100000000000009
54213,2008-10-29,2009,0,,DET,IND,1612.3751,1473.3259,0.7983603407494096,0.20163965925059035,1614.9929,1470.7081,,,,,,,100.0,94.0,94.5,0.522,20.8,15.6,0.358,99.4,105.8,-6.3999999999999915,94.5,0.473,12.5,29.8,0.154,105.8,99.4,6.3999999999999915
54214,2008-10-29,2009,0,,LAC,LAL,1362.9255,1656.1938,0.24739732848676846,0.7526026715132316,1351.7787,1667.3407,,,,,,,79.0,117.0,93.6,0.575,14.5,38.9,0.313,125.0,84.4,40.599999999999994,93.6,0.41700000000000004,17.0,21.3,0.179,84.4,125.0,-40.599999999999994
54215,2008-10-29,2009,0,,GSW,NOP,1547.5571,1617.7623,0.5427733614531962,0.4572266385468038,1539.7312,1625.5883,,,,,,,103.0,108.0,95.9,0.5429999999999999,12.2,22.2,0.23199999999999998,112.6,107.4,5.199999999999989,95.9,0.494,11.9,24.4,0.268,107.4,112.6,-5.199999999999989
54216,2008-10-30,2009,0,,DAL,HOU,1563.3782,1609.951,0.5762875431683959,0.4237124568316041,1550.8833,1622.4459,,,,,,,102.0,112.0,93.5,0.525,9.7,21.1,0.36700000000000005,119.8,109.1,10.700000000000003,93.5,0.44,7.5,21.3,0.33299999999999996,109.1,119.8,-10.700000000000003
54217,2008-10-30,2009,0,,PHO,NOP,1615.694,1625.5883,0.6268414178476647,0.3731585821523353,1599.1395,1642.1427,,,,,,,95.0,108.0,90.6,0.5579999999999999,10.0,24.4,0.26899999999999996,119.2,104.9,14.299999999999997,90.6,0.596,23.7,23.3,0.20600000000000002,104.9,119.2,-14.299999999999997
54218,2008-10-30,2009,0,,CLE,CHO,1545.1223,1462.3469,0.7411855836461534,0.2588144163538466,1551.7371,1455.7322,,,,,,,96.0,79.0,83.4,0.358,12.9,29.8,0.35100000000000003,94.7,115.1,-20.39999999999999,83.4,0.535,15.0,39.4,0.264,115.1,94.7,20.39999999999999
54219,2008-10-31,2009,0,,PHI,NYK,1489.6041,1363.3666,0.7862264767854096,0.2137735232145904,1497.3273,1355.6434,,,,,,,116.0,87.0,100.9,0.36200000000000004,8.5,24.6,0.163,86.2,115.0,-28.799999999999997,100.9,0.596,16.3,32.5,0.11199999999999999,115.0,86.2,28.799999999999997
54220,2008-10-31,2009,0,,POR,SAS,1468.4658,1623.7318,0.421129922802634,0.5788700771973659,1473.3618,1618.8358,,,,,,,100.0,99.0,82.2,0.625,15.8,17.2,0.20600000000000002,120.5,121.7,-1.2000000000000028,82.2,0.5,6.1,33.3,0.22,121.7,120.5,1.2000000000000028
54221,2008-10-31,2009,0,,TOR,GSW,1502.3412,1539.7312,0.5891401958546413,0.4108598041453587,1507.2902,1534.7822,,,,,,,112.0,108.0,88.5,0.505,15.0,36.2,0.138,110.5,114.6,-4.099999999999994,88.5,0.551,12.5,17.1,0.33299999999999996,114.6,110.5,4.099999999999994
54222,2008-10-31,2009,0,,MIA,SAC,1316.2666,1469.5621,0.42389758693094576,0.5761024130690542,1339.9973,1445.8314,,,,,,,103.0,77.0,95.3,0.395,22.8,25.6,0.22399999999999998,80.8,108.1,-27.299999999999997,95.3,0.519,12.8,28.9,0.235,108.1,80.8,27.299999999999997
54223,2008-10-31,2009,0,,LAC,DEN,1351.7787,1562.6222,0.34568374561949783,0.6543162543805021,1345.1884,1569.2125,,,,,,,103.0,113.0,94.7,0.465,14.9,31.9,0.4,108.0,98.5,9.5,94.7,0.397,11.1,28.6,0.268,98.5,108.0,-9.5
