Season,Team,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NetRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G
1951,Minneapolis Lakers,1.0,,44.0,24.0,49.0,19.0,5.41,-0.63,4.79,86.4,80.7,5.700000000000002,94.8,0.35600000000000004,,0.436,0.373,,,0.262,,,,,Minneapolis Auditorium,,
1951,Philadelphia Warriors,2.0,,40.0,26.0,43.0,23.0,3.76,-0.36,3.4,84.8,81.0,3.799999999999997,99.3,0.385,,0.425,0.35,,,0.294,,,,,Philadelphia Arena,,
1951,Rochester Royals,3.0,,41.0,27.0,42.0,26.0,2.99,-0.44,2.54,89.3,86.2,3.0999999999999943,92.3,0.418,,0.452,0.378,,,0.315,,,,,Edgerton Park Arena,,
1951,Syracuse Nationals,4.0,,32.0,34.0,34.0,32.0,0.53,0.09,0.62,86.4,85.9,0.5,98.1,0.491,,0.435,0.35100000000000003,,,0.35600000000000004,,,,,State Fair Coliseum,,
1951,New York Knicks,5.0,,36.0,30.0,34.0,32.0,0.41,0.07,0.49,88.0,87.6,0.4000000000000057,94.8,0.415,,0.445,0.379,,,0.29600000000000004,,,,,Madison Square Garden (III),,
1951,Boston Celtics,6.0,,39.0,30.0,34.0,35.0,-0.26,-0.15,-0.41,87.3,87.6,-0.2999999999999972,95.9,0.431,,0.441,0.368,,,0.312,,,,,Boston Garden,197888.0,
1951,Fort Wayne Pistons,7.0,,32.0,36.0,29.0,39.0,-1.87,0.07,-1.81,82.0,83.8,-1.7999999999999972,102.4,0.403,,0.41,0.338,,,0.29,,,,,North Side High School Gym,,
1951,Baltimore Bullets,8.0,,24.0,42.0,27.0,39.0,-2.29,0.35,-1.94,83.9,86.3,-2.3999999999999915,96.8,0.364,,0.421,0.353,,,0.271,,,,,Baltimore Coliseum,,
1951,Indianapolis Olympians,9.0,,31.0,37.0,27.0,41.0,-2.37,0.37,-2.0,83.6,86.0,-2.4000000000000057,96.4,0.329,,0.42,0.363,,,0.236,,,,,Hinkle Fieldhouse,,
1951,Tri-Cities Blackhawks,10.0,,25.0,43.0,24.0,44.0,-3.79,0.56,-3.22,80.8,84.4,-3.6000000000000085,103.9,0.401,,0.403,0.329,,,0.29,,,,,Wharton Field House,,
1951,Washington Capitols,11.0,,10.0,25.0,11.0,24.0,-4.77,0.14,-4.63,83.2,88.1,-4.899999999999992,97.1,0.413,,0.416,0.334,,,0.316,,,,,Uline Arena,,
1951,League Average,,,,,32.0,32.0,0.0,0.0,0.0,85.1,85.1,0.0,97.4,0.399,,0.428,0.35700000000000004,,,0.293,,,,,,197888.0,
1952,Minneapolis Lakers,1.0,25.8,40.0,26.0,49.0,17.0,6.03,-0.75,5.28,85.3,79.3,6.0,97.2,0.335,,0.429,0.3670000000000001,,,0.25,,,,,Minneapolis Auditorium,,
1952,Syracuse Nationals,2.0,25.8,40.0,26.0,45.0,21.0,4.45,-0.52,3.94,89.2,84.6,4.6000000000000085,96.1,0.4970000000000001,,0.451,0.364,,,0.371,,,,,Onondaga War Memorial,,
1952,Boston Celtics,3.0,25.0,39.0,27.0,43.0,23.0,4.08,-0.47,3.6,90.4,86.4,4.0,100.0,0.4370000000000001,,0.459,0.387,,,0.32,,,,,Boston Garden,160167.0,
1952,Rochester Royals,4.0,28.9,41.0,25.0,42.0,24.0,3.35,-0.43,2.92,91.6,88.1,3.5,92.7,0.416,,0.465,0.389,,,0.321,,,,,Edgerton Park Arena,,
