Season,Team,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NetRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G,ELO
1984,Atlanta Hawks,14.0,26.6,40.0,42.0,37.0,45.0,-1.29,0.22,-1.08,105.5,106.9,-1.4000000000000057,95.3,0.355,0.016,0.529,0.47600000000000003,14.4,31.6,0.27,0.48200000000000004,15.1,65.2,0.268,Omni Coliseum,286049.0,,1510.229
1984,Boston Celtics,1.0,28.0,62.0,20.0,57.0,25.0,6.56,-0.14,6.42,110.9,104.4,6.5,99.7,0.33299999999999996,0.032,0.5539999999999999,0.504,14.6,34.2,0.264,0.475,13.8,69.7,0.225,Boston Garden,606857.0,,1686.8444
1984,Chicago Bulls,23.0,24.4,27.0,55.0,28.0,54.0,-5.18,0.5,-4.69,102.4,107.5,-5.099999999999994,99.8,0.36,0.017,0.526,0.475,16.3,32.3,0.268,0.4970000000000001,15.6,67.2,0.266,Chicago Stadium,256430.0,,1334.6404
1984,Cleveland Cavaliers,21.0,25.4,28.0,54.0,30.0,52.0,-4.26,0.55,-3.71,104.1,108.5,-4.400000000000006,97.4,0.301,0.023,0.512,0.46799999999999997,14.0,33.5,0.22399999999999998,0.49,13.2,70.8,0.28,Coliseum at Richfield,208094.0,,1374.2787
1984,Dallas Mavericks,11.0,24.7,43.0,39.0,42.0,40.0,0.43,-0.27,0.15,110.0,109.6,0.4000000000000057,99.0,0.325,0.025,0.547,0.503,13.6,31.7,0.245,0.503,14.4,65.7,0.23199999999999998,Reunion Arena,538162.0,,1509.9365
1984,Denver Nuggets,15.0,27.0,38.0,44.0,38.0,44.0,-1.1,-0.17,-1.27,111.3,112.3,-1.0,110.5,0.337,0.032,0.5529999999999999,0.498,12.8,29.3,0.276,0.522,14.6,66.6,0.27699999999999997,McNichols Sports Arena,462407.0,,1500.4192
1984,Detroit Pistons,4.0,25.4,49.0,33.0,50.0,32.0,3.59,-0.06,3.52,111.5,108.1,3.4000000000000057,103.8,0.322,0.018000000000000002,0.532,0.48200000000000004,12.7,36.7,0.25,0.5,14.8,67.7,0.263,Pontiac Silverdome,652865.0,,1604.5631
1984,Golden State Warriors,20.0,25.6,37.0,45.0,32.0,50.0,-3.4,0.05,-3.35,105.5,108.8,-3.299999999999997,103.3,0.342,0.03,0.52,0.47100000000000003,14.9,35.6,0.254,0.519,17.0,64.2,0.25,Oakland-Alameda County Coliseum Arena,316844.0,,1435.7335
1984,Houston Rockets,18.0,26.8,29.0,53.0,33.0,49.0,-3.09,-0.04,-3.12,105.3,108.2,-2.9000000000000057,104.7,0.284,0.02,0.535,0.4970000000000001,15.6,32.8,0.21,0.486,14.1,67.5,0.285,The Summit,425755.0,,1374.4117
1984,Indiana Pacers,22.0,24.4,26.0,56.0,28.0,54.0,-4.82,0.57,-4.25,101.8,106.5,-4.700000000000003,102.1,0.297,0.028999999999999998,0.531,0.48700000000000004,15.9,28.1,0.228,0.4970000000000001,16.2,66.8,0.255,Market Square Arena,410626.0,,1389.9349
1984,Kansas City Kings,16.0,26.2,38.0,44.0,37.0,45.0,-1.48,-0.15,-1.62,106.5,108.0,-1.5,102.9,0.345,0.026000000000000002,0.542,0.49,15.3,32.4,0.268,0.505,16.1,66.9,0.266,Kemper Arena,370270.0,,1471.2779999999998
1984,League Average,,26.4,,,41.0,41.0,0.0,0.0,0.0,107.6,107.6,0.0,101.4,0.336,0.027000000000000003,0.5429999999999999,0.495,15.0,33.0,0.255,0.495,15.0,67.0,0.255,,427247.0,,1500.921352173913
1984,Los Angeles Lakers,5.0,27.5,54.0,28.0,50.0,32.0,3.76,-0.44,3.32,110.9,107.3,3.6000000000000085,103.7,0.313,0.031,0.574,0.536,16.1,33.7,0.23600000000000002,0.48700000000000004,14.3,66.6,0.23199999999999998,The Forum,622401.0,,1589.1625
1984,Milwaukee Bucks,2.0,28.4,50.0,32.0,52.0,30.0,4.16,-0.12,4.04,107.8,103.6,4.200000000000003,96.9,0.33799999999999997,0.033,0.541,0.4970000000000001,15.0,33.7,0.25,0.45899999999999996,14.7,65.6,0.266,MECCA Arena,393301.0,,1629.6168
1984,New Jersey Nets,8.0,25.5,45.0,37.0,44.0,38.0,1.1,0.17,1.27,106.1,105.0,1.0999999999999943,103.0,0.34299999999999997,0.032,0.54,0.501,16.1,34.6,0.24,0.494,17.0,67.8,0.292,Brendan Byrne Arena,499496.0,,1573.6689
1984,New York Knicks,3.0,27.2,47.0,35.0,51.0,31.0,3.84,-0.05,3.79,107.0,103.1,3.9000000000000057,99.0,0.3670000000000001,0.024,0.552,0.499,16.7,33.4,0.284,0.491,17.8,68.1,0.281,Madison Square Garden (IV),487649.0,,1565.7726
1984,Philadelphia 76ers,7.0,27.7,52.0,30.0,47.0,35.0,2.2,0.2,2.39,106.8,104.6,2.200000000000003,99.6,0.396,0.016,0.551,0.4970000000000001,16.9,34.6,0.299,0.484,16.0,65.9,0.24600000000000002,The Spectrum,588139.0,,1587.1582
